"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2016-06-28;"SPPO";3388161
2016-06-29;"SPPO";3391223
2016-06-30;"SPPO";3409630
2016-07-01;"SPPO";3475384
2016-07-02;"SPPO";2228256
2016-07-03;"SPPO";1449856
2016-07-04;"SPPO";3445295
2016-07-05;"SPPO";3518434
2016-07-06;"SPPO";3520808
2016-07-07;"SPPO";3559214
2016-07-08;"SPPO";3526006
2016-07-09;"SPPO";2297555
2016-07-10;"SPPO";1477015
2016-07-11;"SPPO";3481521
2016-07-12;"SPPO";3557579
2016-07-13;"SPPO";3513565
2016-07-14;"SPPO";3498882
2016-07-15;"SPPO";3493416
2016-07-16;"SPPO";2268797
2016-07-17;"SPPO";1403768
2016-07-18;"SPPO";3404684
2016-07-19;"SPPO";3447733
2016-07-20;"SPPO";3412920
2016-07-21;"SPPO";3363643
2016-07-22;"SPPO";3372373
2016-07-23;"SPPO";2187761
2016-07-24;"SPPO";1442439
2016-07-25;"SPPO";3365408
2016-07-26;"SPPO";3436188
2016-07-27;"SPPO";3418776
2016-07-28;"SPPO";3348229
2016-07-29;"SPPO";3362936
2016-07-30;"SPPO";2239634
2016-07-31;"SPPO";1476767
2016-08-01;"SPPO";3242153
2016-08-02;"SPPO";3300202
2016-08-03;"SPPO";3343132
2016-08-04;"SPPO";2356659
2016-08-05;"SPPO";2030143
2016-08-06;"SPPO";2138833
2016-08-07;"SPPO";1531729
2016-08-08;"SPPO";3198180
2016-08-09;"SPPO";3218516
2016-08-10;"SPPO";3079495
2016-08-11;"SPPO";3157060
2016-08-12;"SPPO";3152338
2016-08-13;"SPPO";2342791
2016-08-14;"SPPO";1603936
2016-08-15;"SPPO";3110330
2016-08-16;"SPPO";3108865
2016-08-17;"SPPO";3183893
2016-08-18;"SPPO";2178272
2016-08-19;"SPPO";2899339
2016-08-20;"SPPO";2113917
2016-08-21;"SPPO";1244808
2016-08-22;"SPPO";1743563
2016-08-23;"SPPO";3273503
2016-08-24;"SPPO";3291487
2016-08-25;"SPPO";3308819
2016-08-26;"SPPO";3296625
2016-08-27;"SPPO";2212465
2016-08-28;"SPPO";1485575
2016-08-29;"SPPO";3374110
2016-08-30;"SPPO";3508166
2016-08-31;"SPPO";3488404
2016-09-01;"SPPO";3556800
2016-09-02;"SPPO";3577541
2016-09-03;"SPPO";2294952
2016-09-04;"SPPO";1536013
2016-09-05;"SPPO";3676218
2016-09-06;"SPPO";3728779
2016-09-07;"SPPO";1694761
2016-09-08;"SPPO";3605402
2016-09-09;"SPPO";3590409
2016-09-10;"SPPO";2355481
2016-09-11;"SPPO";1553154
2016-09-12;"SPPO";3584024
2016-09-13;"SPPO";3621563
2016-09-14;"SPPO";3543194
2016-09-15;"SPPO";3601482
2016-09-16;"SPPO";3518714
2016-09-17;"SPPO";2271119
2016-09-18;"SPPO";1500536
2016-09-19;"SPPO";3466955
2016-09-20;"SPPO";3367510
2016-09-21;"SPPO";3500139
2016-09-22;"SPPO";3504146
2016-09-23;"SPPO";3483844
2016-09-24;"SPPO";2194156
2016-09-25;"SPPO";1239242
2016-09-26;"SPPO";3352203
2016-09-27;"SPPO";3438323
2016-09-28;"SPPO";3476601
2016-09-29;"SPPO";3474436
2016-09-30;"SPPO";3319870
2016-10-01;"SPPO";2093171
2016-10-02;"SPPO";1881368
2016-10-03;"SPPO";3349016
2016-10-04;"SPPO";3349311
2016-10-05;"SPPO";3560224
2016-10-06;"SPPO";3558231
2016-10-07;"SPPO";3568248
2016-10-08;"SPPO";2356848
2016-10-09;"SPPO";1491053
2016-10-10;"SPPO";3587581
2016-10-11;"SPPO";3678420
2016-10-12;"SPPO";1753779
2016-10-13;"SPPO";3552368
2016-10-14;"SPPO";3489674
2016-10-15;"SPPO";2224497
2016-10-16;"SPPO";1517589
2016-10-17;"SPPO";2906700
2016-10-18;"SPPO";3600991
2016-10-19;"SPPO";3544700
2016-10-20;"SPPO";3542943
2016-10-21;"SPPO";3463046
2016-10-22;"SPPO";2165015
2016-10-23;"SPPO";1394393
2016-10-24;"SPPO";3449133
2016-10-25;"SPPO";3479460
2016-10-26;"SPPO";3502800
2016-10-27;"SPPO";3421790
2016-10-28;"SPPO";3044109
2016-10-29;"SPPO";2131252
2016-10-30;"SPPO";1867926
2016-10-31;"SPPO";3383803
2016-11-01;"SPPO";3575116
2016-11-02;"SPPO";1739258
2016-11-03;"SPPO";3518552
2016-11-04;"SPPO";3324274
2016-11-05;"SPPO";2046573
2016-11-06;"SPPO";1458725
2016-11-07;"SPPO";3563456
2016-11-08;"SPPO";3618890
2016-11-09;"SPPO";3623396
2016-11-10;"SPPO";3583211
2016-11-11;"SPPO";3497429
2016-11-12;"SPPO";2189982
2016-11-13;"SPPO";1179578
2016-11-14;"SPPO";2583690
2016-11-15;"SPPO";1501631
2016-11-16;"SPPO";3528497
2016-11-17;"SPPO";3522687
2016-11-18;"SPPO";3380547
2016-11-19;"SPPO";2142322
2016-11-20;"SPPO";1392955
2016-11-21;"SPPO";3459481
2016-11-22;"SPPO";3475780
2016-11-23;"SPPO";3466701
2016-11-24;"SPPO";3449091
2016-11-25;"SPPO";3457470
2016-11-26;"SPPO";2189950
2016-11-27;"SPPO";1449162
2016-11-28;"SPPO";3400317
2016-11-29;"SPPO";3381112
2016-11-30;"SPPO";3404464
2016-12-01;"SPPO";3526732
2016-12-02;"SPPO";3521161
2016-12-03;"SPPO";2281889
2016-12-04;"SPPO";1405529
2016-12-05;"SPPO";3435978
2016-12-06;"SPPO";3517686
2016-12-07;"SPPO";3552679
2016-12-08;"SPPO";3510609
2016-12-09;"SPPO";3448448
2016-12-10;"SPPO";2339966
2016-12-11;"SPPO";1531152
2016-12-12;"SPPO";3264266
2016-12-13;"SPPO";3316205
2016-12-14;"SPPO";3166102
2016-12-15;"SPPO";3252544
2016-12-16;"SPPO";3265554
2016-12-17;"SPPO";2211975
2016-12-18;"SPPO";1532128
2016-12-19;"SPPO";3237321
2016-12-20;"SPPO";3255117
2016-12-21;"SPPO";3221048
2016-12-22;"SPPO";3131990
2016-12-23;"SPPO";2906419
2016-12-24;"SPPO";1653274
2016-12-25;"SPPO";1062849
2016-12-26;"SPPO";2589109
2016-12-27;"SPPO";2755259
2016-12-28;"SPPO";2803160
2016-12-29;"SPPO";2782595
2016-12-30;"SPPO";2525645
2016-12-31;"SPPO";1813721
2017-01-01;"SPPO";1071443
2017-01-02;"SPPO";2513896
2017-01-03;"SPPO";2777674
2017-01-04;"SPPO";2896023
2017-01-05;"SPPO";2909886
2017-01-06;"SPPO";3018553
2017-01-07;"SPPO";2054730
2017-01-08;"SPPO";1423207
2017-01-09;"SPPO";3003192
