"DATA";"SISTEMA";"TOTAL_PAX_TRANSPORTADO"
2017-04-12;"BRT";664471
2017-04-13;"BRT";618896
2017-04-14;"BRT";261993
2017-04-15;"BRT";371990
2017-04-16;"BRT";241775
2017-04-17;"BRT";643746
2017-04-18;"BRT";655037
2017-04-19;"BRT";664156
2017-04-20;"BRT";675802
2017-04-21;"BRT";296052
2017-04-22;"BRT";347399
2017-04-23;"BRT";206122
2017-04-24;"BRT";629451
2017-04-25;"BRT";640015
2017-04-26;"BRT";629871
2017-04-27;"BRT";634322
2017-04-28;"BRT";377626
2017-04-29;"BRT";385404
2017-04-30;"BRT";232398
2017-05-01;"BRT";246296
2017-05-02;"BRT";658209
2017-05-03;"BRT";663987
2017-05-04;"BRT";665088
2017-05-05;"BRT";676340
2017-05-06;"BRT";417693
2017-05-07;"BRT";241868
2017-05-08;"BRT";657965
2017-05-09;"BRT";675203
2017-05-10;"BRT";665204
2017-05-11;"BRT";657728
2017-05-12;"BRT";670084
2017-05-13;"BRT";421393
2017-05-14;"BRT";257828
2017-05-15;"BRT";638097
2017-05-16;"BRT";654476
2017-05-17;"BRT";651966
2017-05-18;"BRT";651724
2017-05-19;"BRT";603582
2017-05-20;"BRT";391004
2017-05-21;"BRT";231077
2017-05-22;"BRT";623253
2017-05-23;"BRT";648074
2017-05-24;"BRT";646777
2017-05-25;"BRT";602026
2017-05-26;"BRT";642372
2017-05-27;"BRT";398020
2017-05-28;"BRT";211070
2017-05-29;"BRT";624788
2017-05-30;"BRT";638293
2017-05-31;"BRT";652470
2017-06-01;"BRT";662975
2017-06-02;"BRT";670474
2017-06-03;"BRT";408488
2017-06-04;"BRT";243074
2017-06-05;"BRT";655200
2017-06-06;"BRT";666053
2017-06-07;"BRT";669398
2017-06-08;"BRT";644911
2017-06-09;"BRT";666571
2017-06-10;"BRT";407688
2017-06-11;"BRT";240102
2017-06-12;"BRT";656604
2017-06-13;"BRT";659457
2017-06-14;"BRT";664193
2017-06-15;"BRT";278432
2017-06-16;"BRT";559645
2017-06-17;"BRT";352556
2017-06-18;"BRT";226905
2017-06-19;"BRT";615978
2017-06-20;"BRT";607360
2017-06-21;"BRT";558957
2017-06-22;"BRT";625089
2017-06-23;"BRT";619616
2017-06-24;"BRT";375106
2017-06-25;"BRT";219557
2017-06-26;"BRT";600380
2017-06-27;"BRT";612549
2017-06-28;"BRT";608121
2017-06-29;"BRT";610542
2017-06-30;"BRT";604438
2017-07-01;"BRT";375219
2017-07-02;"BRT";196068
2017-07-03;"BRT";591405
2017-07-04;"BRT";614961
2017-07-05;"BRT";617494
